"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","22u","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C3","10u","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C4,C5,C6,C7,C11","100n","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","5",""
"C8","10n","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C9,C10","1u","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C12,C13","10p","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"FB1","120R","~","Inductor_THT:L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2","1",""
"J1","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J2,J3,J5,J6,J8","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","5",""
"J7","USB_B_Micro","~","Connector_USB:USB_Micro-B_Wuerth_629105150521","1",""
"R2","10k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1",""
"U1","STM32F103C8Tx","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"Y1","Crystal","~","HC-49_U-S16000000ABJB:XTAL_HC49P488W43L1150T466H350","1",""
